,time,y_value,peak_num,time_gap,frequencies(HZ)
1084,22.67585,698,1,0.05265900000000201,18.99010615469268
1087,22.728345,738,1,0.0524950000000004,19.049433279359793
1090,22.78302,510,1,0.054674999999999585,18.28989483310485
1092,22.810736,635,1,0.027715999999998076,36.08024245923183
1094,22.836605,722,1,0.025869000000000142,38.656306776450364
1096,22.862922,722,1,0.026317000000002366,37.99825208040088
1098,22.890563,708,1,0.02764099999999914,36.17814116710796
1100,22.916973,567,1,0.02640999999999849,37.86444528587872
1103,22.971171,705,1,0.054197999999999524,18.45086534558487
1105,22.998257,707,1,0.02708600000000061,36.919441778039484
1107,23.025013,708,1,0.026756000000002444,37.37479443862717
1109,23.051742,615,1,0.02672899999999956,37.412548168656386
1111,23.079402,516,1,0.027660000000000906,36.15328994938421
1113,23.105715,672,1,0.026312999999998254,38.00402842701578
1116,23.160333,699,1,0.05461800000000139,18.30898238675848
1120,23.239545,629,1,0.07921199999999828,12.624349845983206
1128,23.399859,674,1,0.16031399999999962,6.237758399141699
1131,23.452578,673,1,0.05271899999999974,18.96849333257469
1133,23.478752,590,1,0.02617400000000103,38.20585313669904
1136,23.531433,654,1,0.052680999999999756,18.98217573698306
1143,23.663796,627,1,0.13236300000000156,7.554981376970817
1146,23.722367,661,1,0.05857099999999704,17.073295658261777
1151,23.829609,652,1,0.10724200000000295,9.32470487309051
1153,23.855818,651,1,0.02620899999999793,38.154832309515015
1156,23.909656,565,1,0.05383799999999894,18.57424124224562
1158,23.962949,642,1,0.053293000000000035,18.76419041900436
1161,24.016351,646,1,0.05340200000000195,18.725890416088603
1163,24.043534,589,1,0.027183000000000845,36.787698193722875
1166,24.096339,628,1,0.052804999999999325,18.93760060600346
1169,24.149689,648,1,0.05334999999999823,18.74414245548328
1173,24.229623,605,1,0.0799340000000015,12.510321014837006
1176,24.281548,636,1,0.051925000000000665,19.25854597977828
1181,24.387134,631,1,0.10558599999999885,9.470952588411446
1183,24.413086,630,1,0.025952000000000197,38.53267570900094
1186,24.467083,568,1,0.05399699999999896,18.519547382262335
1188,24.519991,623,1,0.052908000000002176,18.900733348453144
1194,24.652812,610,1,0.13282099999999986,7.528929913191447
1197,24.707064,623,1,0.05425199999999819,18.432500184325615
1203,24.84158,620,1,0.1345160000000014,7.434059888786386
1207,24.946696,615,1,0.10511599999999888,9.51329959283088
1235,25.692288,602,1,0.745592000000002,1.3412161074689606
1254,26.205282,593,1,0.5129939999999991,1.9493405380959656
1257,26.258385,594,1,0.05310300000000012,18.831327796922917
