Date,Open,High,Low,Close,Adj Close,Volume
2021-09-26,31217.847656,32125.783203,29849.074219,31611.841797,31611.841797,22432087345
2021-09-27,31630.605469,32400.781250,30784.859375,30827.185547,30827.185547,22611827530
2021-09-28,30801.759766,31206.607422,30229.423828,30302.574219,30302.574219,22312676074
2021-09-29,30325.052734,31551.691406,30157.080078,30955.474609,30955.474609,22791413563
2021-09-30,30945.724609,32719.751953,30865.810547,32513.470703,32513.470703,23121795721
2021-10-01,32532.660156,35756.675781,32198.386719,35522.476563,35522.476563,31634614700
2021-10-02,35537.628906,35645.679688,35042.828125,35224.437500,35224.437500,22601959728
2021-10-03,35201.210938,36272.207031,34815.281250,35519.171875,35519.171875,19629973887
2021-10-04,35525.769531,36324.074219,34599.390625,36094.250000,36094.250000,24534095035
2021-10-05,36139.859375,38045.312500,36055.386719,37804.093750,37804.093750,26326028750
2021-10-06,37783.437500,40892.222656,37254.527344,40730.468750,40730.468750,36075782644
2021-10-07,40713.675781,40713.675781,39267.621094,39507.042969,39507.042969,27026171508
2021-10-08,39504.226563,41124.082031,39468.988281,39642.890625,39642.890625,25563503954
2021-10-09,39614.929688,40693.390625,39471.957031,40377.734375,40377.734375,23866906712
2021-10-10,40366.417969,41349.320313,39860.625000,40225.890625,40225.890625,29030396546
2021-10-11,40198.382813,42470.140625,40012.000000,42294.433594,42294.433594,31370416797
2021-10-12,42325.367188,42347.671875,40081.679688,41277.039063,41277.039063,30260242654
2021-10-13,41274.976563,42233.406250,39903.890625,41995.042969,41995.042969,30496491126
2021-10-14,41974.367188,42794.562500,41625.027344,41938.320313,41938.320313,26789321284
2021-10-15,41956.156250,45671.437500,41577.550781,44811.878906,44811.878906,37671925373
2021-10-16,44823.210938,45303.687500,43802.179688,44301.316406,44301.316406,24918843768
2021-10-17,44298.019531,44788.371094,43013.042969,44730.890625,44730.890625,21097763405
2021-10-18,44727.390625,45560.679688,43715.574219,45156.347656,45156.347656,27705286413
2021-10-19,45168.789063,46718.773438,44652.531250,46590.652344,46590.652344,29342062534
